service_date,date,bus,rail_boardings,total_rides
05/05/2002,2002-05-05,443915,207913,651828
05/06/2002,2002-05-06,994227,598141,1592368
05/07/2002,2002-05-07,1010608,616111,1626719
05/08/2002,2002-05-08,968509,600435,1568944
05/09/2002,2002-05-09,1009271,614202,1623473
05/10/2002,2002-05-10,1047188,609528,1656716
05/11/2002,2002-05-11,492841,252501,745342
05/12/2002,2002-05-12,358446,185931,544377
05/13/2002,2002-05-13,975822,570031,1545853
05/14/2002,2002-05-14,1009365,598752,1608117
05/15/2002,2002-05-15,1015551,600667,1616218
05/16/2002,2002-05-16,906240,579727,1485967
05/17/2002,2002-05-17,991682,583205,1574887
05/18/2002,2002-05-18,638862,298727,937589
05/19/2002,2002-05-19,419434,204421,623855
05/20/2002,2002-05-20,994112,582646,1576758
05/21/2002,2002-05-21,1008846,613667,1622513
05/22/2002,2002-05-22,999920,618307,1618227
05/23/2002,2002-05-23,969174,606199,1575373
05/24/2002,2002-05-24,995434,576461,1571895
05/25/2002,2002-05-25,558891,270672,829563
05/26/2002,2002-05-26,436570,216172,652742
05/27/2002,2002-05-27,395210,200876,596086
05/28/2002,2002-05-28,959547,588932,1548479
05/29/2002,2002-05-29,980049,601576,1581625
05/30/2002,2002-05-30,990460,606972,1597432
05/31/2002,2002-05-31,1040502,635809,1676311
06/01/2002,2002-06-01,667264,371223,1038487
06/02/2002,2002-06-02,423135,238648,661783
06/03/2002,2002-06-03,1001778,583147,1584925
06/04/2002,2002-06-04,915667,575065,1490732
06/05/2002,2002-06-05,1005307,602096,1607403
06/06/2002,2002-06-06,1044279,611344,1655623
06/07/2002,2002-06-07,1036716,606193,1642909
06/08/2002,2002-06-08,649574,323142,972716
06/09/2002,2002-06-09,446760,228298,675058
06/10/2002,2002-06-10,944065,583512,1527577
06/11/2002,2002-06-11,969387,604162,1573549
06/12/2002,2002-06-12,986714,606658,1593372
06/13/2002,2002-06-13,967153,596032,1563185
06/14/2002,2002-06-14,980140,605447,1585587
06/15/2002,2002-06-15,644968,318379,963347
06/16/2002,2002-06-16,456833,225229,682062
06/17/2002,2002-06-17,980090,576747,1556837
06/18/2002,2002-06-18,996706,619540,1616246
06/19/2002,2002-06-19,992928,618449,1611377
06/20/2002,2002-06-20,975703,628191,1603894
06/21/2002,2002-06-21,979910,616117,1596027
06/22/2002,2002-06-22,634013,341170,975183
06/23/2002,2002-06-23,444454,232456,676910
06/24/2002,2002-06-24,884749,597643,1482392
06/25/2002,2002-06-25,926613,600847,1527460
06/26/2002,2002-06-26,879533,601333,1480866
06/27/2002,2002-06-27,914452,613276,1527728
06/28/2002,2002-06-28,934562,650340,1584902
06/29/2002,2002-06-29,636792,369705,1006497
06/30/2002,2002-06-30,441101,309418,750519
07/01/2002,2002-07-01,948966,601509,1550475
07/02/2002,2002-07-02,955991,621541,1577532
07/03/2002,2002-07-03,1004276,785621,1789897
